grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty
12666,28.4929563,76.9425791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
59485,28.8450943,77.2926312,1,0,0.06,0.0,0.06,0.0,0.84,0.84,0,0.0,99.1
54194,28.8055686,77.1800413,7,0,0.71,0.0,0.71,0.0,7.81,7.81,0,0.0,91.48
31932,28.6384827,76.918014,8,3,1.94,0.0,1.94,0.0,3.19,3.19,0,0.0,94.87
55722,28.8181449,76.8975431,16,0,2.85,0.0,2.85,0.0,2.94,2.94,0,0.0,94.21
17585,28.5288887,77.2680661,24,3,15.21,0.64,15.85,0.0,7.56,7.56,0,0.0,76.59
32901,28.6456692,76.9528145,14,0,9.3,0.0,9.3,0.0,7.87,7.87,1,12.4,70.43
18613,28.5378719,76.9364378,6,2,1.74,0.0,1.74,0.0,3.98,3.98,0,0.0,94.28
6330,28.4444475,77.126817,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
46856,28.7498733,77.2619249,25,1,6.63,0.6,7.229999999999999,2.52,5.86,8.38,0,0.0,84.39
26202,28.5953638,76.8811664,2,2,1.41,0.0,1.41,0.0,3.22,3.22,0,0.0,95.37
1588,28.408515,77.1636646,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
46487,28.7480767,76.9937563,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
63070,28.8720436,77.3233375,0,0,0.0,0.0,0.0,0.0,2.9,2.9,0,0.0,97.1
48066,28.7588564,77.3028666,86,1,15.23,0.0,15.23,0.47,16.24,16.71,0,0.0,68.06
16905,28.5252955,76.8504601,0,0,0.13,0.0,0.13,8.48,3.46,11.94,0,0.0,87.93
12087,28.4875664,77.218936,0,0,0.0,0.0,0.0,0.0,1.61,1.61,0,0.0,98.39
54732,28.8091618,77.3069608,0,4,0.0,0.0,0.0,0.0,3.33,3.33,0,0.0,96.67
47493,28.7552632,77.104299,22,4,2.55,5.73,8.280000000000001,3.68,20.26,23.94,1,0.8500000000000001,66.93
9911,28.4713968,77.149335,22,0,6.55,0.0,6.55,0.0,6.62,6.62,0,0.0,86.83
18787,28.5378719,77.2926312,17,2,16.19,1.8,17.990000000000002,5.13,11.04,16.17,0,0.0,65.84
15522,28.5145158,76.9425791,0,0,0.0,0.0,0.0,0.07,1.35,1.42,0,0.0,98.58
8682,28.4624137,77.0694985,5,3,0.76,0.46,1.22,1.8,17.11,18.91,0,0.0,79.87
34576,28.6582456,76.9712383,2,5,0.14,0.0,0.14,9.32,8.92,18.24,1,0.97,80.65
49529,28.7714328,76.8873077,0,0,0.0,0.0,0.0,0.0,3.06,3.06,0,0.0,96.94
24342,28.5809908,76.9712383,0,6,0.0,0.0,0.0,0.43,7.11,7.54,0,0.0,92.46
15368,28.5127191,77.1145345,44,0,9.71,0.0,9.71,0.06,5.12,5.18,0,0.0,85.11
58512,28.8379078,77.2496423,0,0,0.0,0.0,0.0,0.0,3.02,3.02,0,0.0,96.98
11121,28.4803799,77.1902768,10,2,6.86,0.63,7.49,0.0,1.81,1.81,0,0.0,90.7
30491,28.627703,76.8914018,0,2,0.0,0.0,0.0,0.0,3.69,3.69,1,2.28,94.03
13257,28.4965495,77.1779942,34,2,10.66,0.33,10.99,0.0,9.46,9.46,0,0.0,79.55
21389,28.5576347,77.2598778,27,7,30.27,8.77,39.04,0.04,10.54,10.58,0,0.0,50.38
61696,28.8630605,76.9466732,0,0,0.0,0.0,0.0,0.0,2.68,2.68,0,0.0,97.32
61845,28.8630605,77.2516894,1,0,0.03,0.0,0.03,0.0,2.1,2.1,0,0.0,97.87
53224,28.7983821,77.1431937,7,4,3.3,0.47,3.77,13.2,9.7,22.9,0,0.0,73.33
11529,28.4839732,77.0510747,38,3,8.49,0.89,9.38,16.23,12.64,28.87,0,0.0,61.75
22229,28.5648212,77.0306039,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
8506,28.4606171,77.196418,17,0,9.51,0.0,9.51,1.16,11.07,12.23,0,0.0,78.25999999999999
24456,28.5809908,77.2046064,14,0,8.25,0.0,8.25,0.06,3.42,3.48,0,0.0,88.27
40519,28.7031611,76.9569087,31,3,2.98,0.0,2.98,0.0,5.77,5.77,0,0.0,91.25
